decade,score,bad word,number of appearance
1940,7,naked,5
1940,7,beast,7
1940,7,fairy,16
1940,7,snatch,1
1940,7,dumb,23
1940,7,color,7
1940,7,smack,11
1940,7,spit,6
1940,7,servant,7
1940,7,slave,13
1940,7,hole,33
1940,7,balls,4
1940,7,assault,5
1940,7,amateur,9
1940,7,chin,3
1940,7,gay,24
1940,7,firing,7
1940,7,ass,1
1940,7,crap,3
1940,7,loser,1
1940,7,conspiracy,1
1940,7,disease,6
1940,7,spank,2
1940,7,nasty,9
1940,7,babies,5
1940,7,jade,11
1940,7,narcotic,1
1940,7,whiz,1
1940,7,cancer,4
1940,7,nip,3
1940,7,crabs,1
1940,7,colored,6
1940,7,disturbed,6
1940,7,deposit,9
1940,7,banging,1
1940,7,whiskey,7
1940,7,scum,1
1940,7,murderer,13
1940,7,illegal,3
1940,7,pansies,1
1940,7,hook,12
1940,7,cemetery,1
1940,7,sexual,1
1940,7,drug,2
1940,7,violence,3
1940,7,poop,1
1940,7,failure,6
1940,7,children's,2
1940,7,swallow,3
1940,7,fairies,1
1940,7,bombs,10
1940,7,liberal,3
1940,7,diseases,1
1940,7,fraud,2
1940,7,pixie,1
1940,7,itch,1
1940,7,hustler,1
1940,7,liquor,12
1940,7,toilet,1
1940,7,radical,1
1940,7,dive,1
1940,7,screw,1
1940,7,crash,4
1940,7,booby,1
1940,7,god,3
1940,7,puss,1
1940,7,whit,1
1940,7,cocktail,3
1940,7,bombers,1
1940,7,abuse,2
1940,7,penetration,1
1940,7,cock,3
1940,7,muff,1
1940,7,jackass,4
1940,7,minority,1
1940,7,harem,1
1940,7,sniggering,1
1940,7,peck,1
1940,7,bestial,1
1940,7,headlights,1
1940,7,cocky,2
1940,7,gyp,1
1940,7,babe,1
1940,7,darkie,1
1940,7,geezer,2
1940,7,fart,1
1940,7,nude,1
1940,7,bullshit,1
1940,7,blacks,3
1940,7,boob,1
1940,7,boobs,2
1940,7,breast,1
1940,7,crimes,5
1940,7,penthouse,1
1940,7,criminals,4
1940,7,corruption,1
1940,7,radicals,1
1940,7,doom,3
1940,7,nook,1
1940,7,swastika,1
1940,7,squaw,1
1940,7,pistol,5
1940,7,moles,1
1940,7,homicide,1
1940,7,bitch,1
1940,7,yankee,3
1940,7,conservative,1
1940,7,virgin,1
1940,7,execute,1
1940,7,hobo,1
decade,score,bad word,number of appearance
1940,8,stupid,8
1940,8,welfare,1
